"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m45378192291","2023-06-21","","2023-06-25","Christian Dior Eau de Toilette Spray","Completed","New York","Georgia","79.00","7.40","0.00","7.90","3.01","0.00","68.09","7.45","0.00"
"m85219606120","2023-06-21","","2023-06-25","Maison Margiela Replica perfume","Completed","California","Georgia","25.00","4.30","0.00","2.50","1.35","0.00","21.15","1.81","0.00"
"m18189124595","2023-06-28","","2023-07-07","Michael Kors ankle boots","Completed","California","Georgia","30.00","9.50","0.00","3.00","1.65","0.00","25.35","2.51","0.00"
"m93430502741","2023-07-04","","2023-07-09","Prada dust bag","Completed","Florida","Georgia","7.00","4.30","0.00","0.70","0.83","0.00","5.47","0.79","0.00"
"m10994086425","2023-07-07","","2023-07-14","khiels avocado eyecream collection","Completed","Texas","Georgia","11.00","4.30","0.00","1.10","0.94","0.00","8.96","1.26","0.00"
"m95144562007","2023-07-08","","2023-07-14","Diptyque perfume collection","Completed","Massachusetts","Georgia","75.00","7.40","0.00","7.50","2.89","0.00","64.61","4.69","0.00"
"m15586182565","2023-07-10","","2023-07-14","aBercrombie & fitch red backpack","Completed","Arizona","Georgia","30.00","9.50","0.00","3.00","1.65","0.00","25.35","2.61","0.00"
"m49647034197","2023-07-12","","2023-07-16","Ferragamo Women's Carla Dots Pumps","Completed","New Jersey","Georgia","99.00","9.50","0.00","9.90","3.65","0.00","85.45","0.00","0.00"
"m87074551698","2023-07-08","","2023-07-19","La Mer The Moisturizing Cream","Completed","California","Georgia","48.00","4.99","0.00","4.80","2.04","0.00","41.16","4.92","0.00"
"m47727702474","2023-07-16","","2023-07-20","Stussy men Shirt","Completed","Texas","Georgia","19.00","7.40","0.00","1.90","1.27","0.00","15.83","2.18","0.00"
"m96617479253","2023-07-14","","2023-07-20","Stussy men denim Jacket","Completed","Missouri","Georgia","49.00","9.50","0.00","4.90","2.20","0.00","41.90","3.42","0.00"
"m83578011069","2023-07-17","","2023-07-20","coach backpack","Completed","Michigan","Georgia","144.00","12.30","0.00","14.40","5.03","0.00","124.57","8.64","0.00"
